epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,716.813,2.75543,3.45143,3.52702,0.00169,0.625,0.00185,0.00029,2.78495,4.56349,4.13634,0.000616379,0.000616379,0.000616379
43,733.295,2.69356,3.337,3.54324,0.00169,0.625,0.00185,0.00029,2.78495,4.56349,4.13634,0.000620713,0.000620713,0.000620713
44,749.202,2.54965,3.31446,3.48029,0.00168,0.625,0.00185,0.00031,2.91519,4.58273,4.13986,0.000624551,0.000624551,0.000624551
45,771.34,2.75364,3.46934,3.53361,0.00168,0.625,0.00185,0.00031,2.91519,4.58273,4.13986,0.000627895,0.000627895,0.000627895
46,791.829,2.53015,3.45119,3.42477,0.00068,0.375,0.00094,0.00024,3.05631,4.63021,4.12735,0.000630744,0.000630744,0.000630744
47,816,2.65844,3.26302,3.40269,0.00068,0.375,0.00094,0.00024,3.05631,4.63021,4.12735,0.000633098,0.000633098,0.000633098
48,833.908,2.60479,3.59193,3.41786,0.00108,0.5,0.00316,0.00062,3.15485,4.6473,4.05768,0.000634956,0.000634956,0.000634956
49,850.797,2.52302,3.24477,3.41466,0.00108,0.5,0.00316,0.00062,3.15485,4.6473,4.05768,0.00063632,0.00063632,0.00063632
50,866.096,2.6774,3.07394,3.40377,0.00107,0.5,0.12814,0.07566,2.95926,4.64333,3.90503,0.000637189,0.000637189,0.000637189
51,882.237,2.74487,3.2744,3.43423,0.00107,0.5,0.12814,0.07566,2.95926,4.64333,3.90503,0.00063125,0.00063125,0.00063125
52,897.895,2.56744,3.03098,3.3284,0.00209,0.5,0.21069,0.13045,2.6889,4.64921,3.64383,0.000618875,0.000618875,0.000618875
53,913.33,2.50863,3.00918,3.35227,0.00209,0.5,0.21069,0.13045,2.6889,4.64921,3.64383,0.0006065,0.0006065,0.0006065
54,929.371,2.66249,3.15508,3.29727,0.01069,0.75,0.2668,0.15953,2.62326,4.64601,3.48783,0.000594125,0.000594125,0.000594125
55,944.791,2.64259,2.812,3.39223,0.01069,0.75,0.2668,0.15953,2.62326,4.64601,3.48783,0.00058175,0.00058175,0.00058175
56,960.21,2.46211,3.23543,3.30575,0.01401,0.75,0.27586,0.16447,2.53777,4.68832,3.19846,0.000569375,0.000569375,0.000569375
57,975.801,2.73329,3.15094,3.39161,0.01401,0.75,0.27586,0.16447,2.53777,4.68832,3.19846,0.000557,0.000557,0.000557
58,991.303,2.69173,3.2315,3.34897,0.01345,0.83333,0.34678,0.21838,2.38081,4.98326,2.96932,0.000544625,0.000544625,0.000544625
59,1006.82,2.78064,3.19453,3.32983,0.01345,0.83333,0.34678,0.21838,2.38081,4.98326,2.96932,0.00053225,0.00053225,0.00053225
60,1022.26,2.44071,2.98378,3.27286,0.56332,0.25,0.62349,0.41898,2.28425,4.91568,2.86594,0.000519875,0.000519875,0.000519875
61,1037.56,2.81845,3.13689,3.38568,0.56332,0.25,0.62349,0.41898,2.28425,4.91568,2.86594,0.0005075,0.0005075,0.0005075
62,1053.6,2.61328,2.91716,3.39559,0.54177,0.25,0.62675,0.37186,2.27449,4.95182,2.85164,0.000495125,0.000495125,0.000495125
63,1069.22,2.56282,2.83164,3.27101,0.54177,0.25,0.62675,0.37186,2.27449,4.95182,2.85164,0.00048275,0.00048275,0.00048275
64,1084.95,2.62338,2.87642,3.31707,0.35619,0.58333,0.61809,0.35873,2.15307,5.1063,2.81436,0.000470375,0.000470375,0.000470375
65,1100.95,3.0176,3.20236,3.53097,0.35619,0.58333,0.61809,0.35873,2.15307,5.1063,2.81436,0.000458,0.000458,0.000458
66,1117.67,2.50202,2.88755,3.30773,0.56225,0.58333,0.66193,0.33204,1.95952,5.62497,2.7796,0.000445625,0.000445625,0.000445625
67,1133.48,2.66343,3.12869,3.26369,0.56225,0.58333,0.66193,0.33204,1.95952,5.62497,2.7796,0.00043325,0.00043325,0.00043325
68,1149.42,2.48337,2.9314,3.221,0.60989,0.66667,0.70211,0.46213,1.7317,5.82674,2.64624,0.000420875,0.000420875,0.000420875
69,1165.68,2.48008,2.79651,3.27409,0.60989,0.66667,0.70211,0.46213,1.7317,5.82674,2.64624,0.0004085,0.0004085,0.0004085
70,1181.43,2.63936,3.10524,3.31343,0.71737,0.64951,0.73903,0.46114,1.62949,6.08817,2.58078,0.000396125,0.000396125,0.000396125
71,1200.31,2.86391,3.3353,3.39862,0.71737,0.64951,0.73903,0.46114,1.62949,6.08817,2.58078,0.00038375,0.00038375,0.00038375
72,1223.11,2.57521,3.04968,3.27519,0.56708,0.75,0.7184,0.46457,1.55218,6.24554,2.51336,0.000371375,0.000371375,0.000371375
73,1246.9,2.3734,2.82934,3.20165,0.56708,0.75,0.7184,0.46457,1.55218,6.24554,2.51336,0.000359,0.000359,0.000359
74,1266.66,2.42625,2.84343,3.18159,0.71918,0.74196,0.75482,0.4753,1.48432,5.60109,2.48237,0.000346625,0.000346625,0.000346625
75,1285.36,2.53187,2.90627,3.2509,0.71918,0.74196,0.75482,0.4753,1.48432,5.60109,2.48237,0.00033425,0.00033425,0.00033425
76,1303.69,2.7041,3.10359,3.28946,0.78748,0.54167,0.70448,0.47636,1.48146,4.76632,2.49619,0.000321875,0.000321875,0.000321875
77,1321.14,2.49103,2.71003,3.2315,0.78748,0.54167,0.70448,0.47636,1.48146,4.76632,2.49619,0.0003095,0.0003095,0.0003095
78,1336.81,2.45767,3.07818,3.27141,0.70587,0.625,0.72653,0.47676,1.5174,4.00492,2.54997,0.000297125,0.000297125,0.000297125
79,1352.7,2.2989,2.85371,3.08307,0.70587,0.625,0.72653,0.47676,1.5174,4.00492,2.54997,0.00028475,0.00028475,0.00028475
80,1368.84,2.40902,2.73381,3.17395,0.64135,0.70392,0.73903,0.46272,1.57462,3.55368,2.58553,0.000272375,0.000272375,0.000272375
81,1384.97,2.46926,3.00456,3.28563,0.64135,0.70392,0.73903,0.46272,1.57462,3.55368,2.58553,0.00026,0.00026,0.00026
82,1401.46,2.42184,2.94923,3.03463,0.70808,0.64305,0.73903,0.44457,1.6004,3.37733,2.59025,0.000247625,0.000247625,0.000247625
83,1418.28,2.47109,2.96858,3.08289,0.70808,0.64305,0.73903,0.44457,1.6004,3.37733,2.59025,0.00023525,0.00023525,0.00023525
